,Director Name,Title,Budget,Box Office,Rating,Number of Ratings,Genre,Date of Release,Production House,Runtime,MPAA Rating
6828,D.W. Griffith,The Reformers,0.0,0.0,0.0,0.0,Comedy,1913-07-06,American Mutoscope & Biograph,16.0,NR
6829,D.W. Griffith,The Greaser's Gauntlet,0.0,0.0,0.0,0.0,,1908-08-11,,17.0,
6830,D.W. Griffith,The Battle of the Sexes,0.0,0.0,0.0,0.0,Drama,1914-04-12,Majestic Motion Picture Company,50.0,NR
6831,D.W. Griffith,Oil and Water,0.0,0.0,0.0,0.0,Drama,1913-02-10,Biograph Company,25.0,NR
6832,D.W. Griffith,His Last Burglary,0.0,0.0,0.0,0.0,,1910-01-07,,15.0,
6833,D.W. Griffith,The Final Settlement,0.0,0.0,0.0,0.0,,1910-01-05,American Mutoscope & Biograph,15.0,
6834,D.W. Griffith,Taming a Husband,0.0,0.0,0.0,0.0,,1910-01-10,American Mutoscope & Biograph,16.0,
6835,D.W. Griffith,The Man,0.0,0.0,0.0,0.0,,1910-02-04,American Mutoscope & Biograph,17.0,
6836,D.W. Griffith,The Converts,0.0,0.0,0.0,0.0,,1910-02-08,American Mutoscope & Biograph,15.0,
6837,D.W. Griffith,Gold Is Not All,0.0,0.0,0.0,0.0,,1910-02-18,American Mutoscope & Biograph,17.0,
6838,D.W. Griffith,Thou Shalt Not,0.0,0.0,0.0,0.0,,1910-03-03,American Mutoscope & Biograph,16.0,
6839,D.W. Griffith,The Way of the World,0.0,0.0,0.0,0.0,,1910-03-12,American Mutoscope & Biograph,17.0,
6840,D.W. Griffith,The Gold Seekers,0.0,0.0,0.0,0.0,,1910-03-18,American Mutoscope & Biograph,17.0,
6841,D.W. Griffith,The Impalement,0.0,0.0,0.0,0.0,,1910-04-21,American Mutoscope & Biograph,17.0,
6842,D.W. Griffith,The Face at the Window,0.0,0.0,0.0,0.0,,1910-05-10,American Mutoscope & Biograph,14.0,
6843,D.W. Griffith,The Marked Time-Table,0.0,0.0,0.0,0.0,,1910-05-17,American Mutoscope & Biograph,16.0,
6844,D.W. Griffith,The Purgation,0.0,0.0,0.0,0.0,,1910-05-24,American Mutoscope & Biograph,15.0,
6845,D.W. Griffith,A Midnight Cupid,0.0,0.0,0.0,0.0,Comedy,1910-06-03,American Mutoscope & Biograph,17.0,NR
6846,D.W. Griffith,A Child's Faith,0.0,0.0,0.0,0.0,,1910-06-07,American Mutoscope & Biograph,17.0,
6847,D.W. Griffith,Serious Sixteen,0.0,0.0,0.0,0.0,,1910-06-08,American Mutoscope & Biograph,8.0,
6848,D.W. Griffith,As the Bells Rang Out!,0.0,0.0,0.0,0.0,,1910-06-18,American Mutoscope & Biograph,7.0,
6849,D.W. Griffith,The Lily of the Tenements,0.0,0.0,0.0,0.0,,1911-02-27,American Mutoscope & Biograph,16.0,
6850,D.W. Griffith,The Diamond Star,0.0,0.0,0.0,0.0,,1911-02-20,American Mutoscope & Biograph,15.0,
6851,D.W. Griffith,The Two Paths,0.0,0.0,0.0,0.0,,1911-01-02,American Mutoscope & Biograph,17.0,
6852,D.W. Griffith,A Wreath of Orange Blossoms,0.0,0.0,0.0,0.0,,1911-01-30,American Mutoscope & Biograph,18.0,
6853,D.W. Griffith,His Sister-In-Law,0.0,0.0,0.0,0.0,,1910-12-15,American Mutoscope & Biograph,17.0,
6854,D.W. Griffith,A Child's Stratagem,0.0,0.0,0.0,0.0,,1910-10-05,American Mutoscope & Biograph,17.0,
6855,D.W. Griffith,The Banker's Daughters,0.0,0.0,0.0,0.0,,1910-10-20,American Mutoscope & Biograph,17.0,
6856,D.W. Griffith,Two Little Waifs,0.0,0.0,0.0,0.0,,1910-10-31,American Mutoscope & Biograph,5.0,
6857,D.W. Griffith,Her Father's Pride,0.0,0.0,0.0,0.0,,1910-08-04,American Mutoscope & Biograph,15.0,
6858,D.W. Griffith,A Salutary Lesson,0.0,0.0,0.0,0.0,,1910-08-11,American Mutoscope & Biograph,17.0,
